# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN29905_c0_g1_i1%7Cg.3290%20TRINITY_DN29905_c0_g1_i1%7Cm.3290%20type%3A3prime_partial%20len%3A207%20(%2B)	TRINITY_DN29905_c0_g1_i1|g.3290	TRINITY_DN29905_c0_g1_i1|m.3290	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29905_c0_g1_i1%7Cg.3291%20TRINITY_DN29905_c0_g1_i1%7Cm.3291%20type%3A5prime_partial%20len%3A166%20(-)	TRINITY_DN29905_c0_g1_i1|g.3291	TRINITY_DN29905_c0_g1_i1|m.3291	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29949_c0_g1_i1%7Cg.47862%20TRINITY_DN29949_c0_g1_i1%7Cm.47862%20type%3Acomplete%20len%3A347%20(%2B)	TRINITY_DN29949_c0_g1_i1|g.47862	TRINITY_DN29949_c0_g1_i1|m.47862	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29949_c0_g1_i1%7Cg.47863%20TRINITY_DN29949_c0_g1_i1%7Cm.47863%20type%3Acomplete%20len%3A304%20(-)	TRINITY_DN29949_c0_g1_i1|g.47863	TRINITY_DN29949_c0_g1_i1|m.47863	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29951_c0_g2_i1%7Cg.47899%20TRINITY_DN29951_c0_g2_i1%7Cm.47899%20type%3A3prime_partial%20len%3A207%20(-)	TRINITY_DN29951_c0_g2_i1|g.47899	TRINITY_DN29951_c0_g2_i1|m.47899	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN29951_c0_g2_i1%7Cg.47900%20TRINITY_DN29951_c0_g2_i1%7Cm.47900%20type%3Acomplete%20len%3A105%20(%2B)	TRINITY_DN29951_c0_g2_i1|g.47900	TRINITY_DN29951_c0_g2_i1|m.47900	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN29976_c0_g1_i1%7Cg.47856%20TRINITY_DN29976_c0_g1_i1%7Cm.47856%20type%3Ainternal%20len%3A277%20(%2B)	TRINITY_DN29976_c0_g1_i1|g.47856	TRINITY_DN29976_c0_g1_i1|m.47856	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN29976_c0_g1_i1%7Cg.47857%20TRINITY_DN29976_c0_g1_i1%7Cm.47857%20type%3A5prime_partial%20len%3A157%20(-)	TRINITY_DN29976_c0_g1_i1|g.47857	TRINITY_DN29976_c0_g1_i1|m.47857	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN29983_c0_g3_i1%7Cg.47894%20TRINITY_DN29983_c0_g3_i1%7Cm.47894%20type%3Ainternal%20len%3A116%20(-)	TRINITY_DN29983_c0_g3_i1|g.47894	TRINITY_DN29983_c0_g3_i1|m.47894	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30001_c0_g3_i1%7Cg.47864%20TRINITY_DN30001_c0_g3_i1%7Cm.47864%20type%3A5prime_partial%20len%3A117%20(%2B)	TRINITY_DN30001_c0_g3_i1|g.47864	TRINITY_DN30001_c0_g3_i1|m.47864	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30050_c0_g1_i1%7Cg.88448%20TRINITY_DN30050_c0_g1_i1%7Cm.88448%20type%3Ainternal%20len%3A215%20(-)	TRINITY_DN30050_c0_g1_i1|g.88448	TRINITY_DN30050_c0_g1_i1|m.88448	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30053_c0_g1_i1%7Cg.88441%20TRINITY_DN30053_c0_g1_i1%7Cm.88441%20type%3Acomplete%20len%3A224%20(%2B)	TRINITY_DN30053_c0_g1_i1|g.88441	TRINITY_DN30053_c0_g1_i1|m.88441	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30064_c0_g3_i2%7Cg.88492%20TRINITY_DN30064_c0_g3_i2%7Cm.88492%20type%3A5prime_partial%20len%3A249%20(-)	TRINITY_DN30064_c0_g3_i2|g.88492	TRINITY_DN30064_c0_g3_i2|m.88492	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30064_c0_g3_i2%7Cg.88493%20TRINITY_DN30064_c0_g3_i2%7Cm.88493%20type%3A5prime_partial%20len%3A169%20(%2B)	TRINITY_DN30064_c0_g3_i2|g.88493	TRINITY_DN30064_c0_g3_i2|m.88493	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30079_c0_g1_i1%7Cg.88506%20TRINITY_DN30079_c0_g1_i1%7Cm.88506%20type%3Acomplete%20len%3A145%20(%2B)	TRINITY_DN30079_c0_g1_i1|g.88506	TRINITY_DN30079_c0_g1_i1|m.88506	protein_coding	0	10	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10
ORF%20TRINITY_DN30134_c0_g1_i2%7Cg.53997%20TRINITY_DN30134_c0_g1_i2%7Cm.53997%20type%3A5prime_partial%20len%3A390%20(-)	TRINITY_DN30134_c0_g1_i2|g.53997	TRINITY_DN30134_c0_g1_i2|m.53997	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30169_c0_g1_i1%7Cg.53961%20TRINITY_DN30169_c0_g1_i1%7Cm.53961%20type%3A3prime_partial%20len%3A125%20(%2B)	TRINITY_DN30169_c0_g1_i1|g.53961	TRINITY_DN30169_c0_g1_i1|m.53961	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30169_c0_g1_i1%7Cg.53962%20TRINITY_DN30169_c0_g1_i1%7Cm.53962%20type%3A5prime_partial%20len%3A105%20(-)	TRINITY_DN30169_c0_g1_i1|g.53962	TRINITY_DN30169_c0_g1_i1|m.53962	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30216_c0_g1_i1%7Cg.54012%20TRINITY_DN30216_c0_g1_i1%7Cm.54012%20type%3A5prime_partial%20len%3A150%20(%2B)	TRINITY_DN30216_c0_g1_i1|g.54012	TRINITY_DN30216_c0_g1_i1|m.54012	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30259_c0_g1_i1%7Cg.88237%20TRINITY_DN30259_c0_g1_i1%7Cm.88237%20type%3A3prime_partial%20len%3A165%20(%2B)	TRINITY_DN30259_c0_g1_i1|g.88237	TRINITY_DN30259_c0_g1_i1|m.88237	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30259_c0_g1_i3%7Cg.88239%20TRINITY_DN30259_c0_g1_i3%7Cm.88239%20type%3A3prime_partial%20len%3A173%20(%2B)	TRINITY_DN30259_c0_g1_i3|g.88239	TRINITY_DN30259_c0_g1_i3|m.88239	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30299_c0_g1_i2%7Cg.88335%20TRINITY_DN30299_c0_g1_i2%7Cm.88335%20type%3Acomplete%20len%3A175%20(%2B)	TRINITY_DN30299_c0_g1_i2|g.88335	TRINITY_DN30299_c0_g1_i2|m.88335	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30326_c0_g2_i1%7Cg.88187%20TRINITY_DN30326_c0_g2_i1%7Cm.88187%20type%3Acomplete%20len%3A214%20(%2B)	TRINITY_DN30326_c0_g2_i1|g.88187	TRINITY_DN30326_c0_g2_i1|m.88187	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30326_c0_g2_i1%7Cg.88189%20TRINITY_DN30326_c0_g2_i1%7Cm.88189%20type%3Acomplete%20len%3A175%20(-)	TRINITY_DN30326_c0_g2_i1|g.88189	TRINITY_DN30326_c0_g2_i1|m.88189	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30326_c0_g2_i2%7Cg.88191%20TRINITY_DN30326_c0_g2_i2%7Cm.88191%20type%3Acomplete%20len%3A175%20(-)	TRINITY_DN30326_c0_g2_i2|g.88191	TRINITY_DN30326_c0_g2_i2|m.88191	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30326_c0_g2_i2%7Cg.88192%20TRINITY_DN30326_c0_g2_i2%7Cm.88192%20type%3Acomplete%20len%3A161%20(%2B)	TRINITY_DN30326_c0_g2_i2|g.88192	TRINITY_DN30326_c0_g2_i2|m.88192	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30326_c0_g2_i2%7Cg.88193%20TRINITY_DN30326_c0_g2_i2%7Cm.88193%20type%3Acomplete%20len%3A102%20(-)	TRINITY_DN30326_c0_g2_i2|g.88193	TRINITY_DN30326_c0_g2_i2|m.88193	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30468_c0_g1_i1%7Cg.50069%20TRINITY_DN30468_c0_g1_i1%7Cm.50069%20type%3Acomplete%20len%3A190%20(%2B)	TRINITY_DN30468_c0_g1_i1|g.50069	TRINITY_DN30468_c0_g1_i1|m.50069	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ORF%20TRINITY_DN30474_c0_g3_i1%7Cg.50160%20TRINITY_DN30474_c0_g3_i1%7Cm.50160%20type%3A5prime_partial%20len%3A149%20(%2B)	TRINITY_DN30474_c0_g3_i1|g.50160	TRINITY_DN30474_c0_g3_i1|m.50160	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30528_c0_g1_i1%7Cg.89925%20TRINITY_DN30528_c0_g1_i1%7Cm.89925%20type%3A5prime_partial%20len%3A378%20(-)	TRINITY_DN30528_c0_g1_i1|g.89925	TRINITY_DN30528_c0_g1_i1|m.89925	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30528_c0_g1_i1%7Cg.89926%20TRINITY_DN30528_c0_g1_i1%7Cm.89926%20type%3Acomplete%20len%3A118%20(%2B)	TRINITY_DN30528_c0_g1_i1|g.89926	TRINITY_DN30528_c0_g1_i1|m.89926	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30540_c0_g1_i1%7Cg.89950%20TRINITY_DN30540_c0_g1_i1%7Cm.89950%20type%3Acomplete%20len%3A201%20(%2B)	TRINITY_DN30540_c0_g1_i1|g.89950	TRINITY_DN30540_c0_g1_i1|m.89950	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30540_c0_g1_i1%7Cg.89951%20TRINITY_DN30540_c0_g1_i1%7Cm.89951%20type%3A5prime_partial%20len%3A133%20(%2B)	TRINITY_DN30540_c0_g1_i1|g.89951	TRINITY_DN30540_c0_g1_i1|m.89951	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30611_c0_g4_i1%7Cg.89809%20TRINITY_DN30611_c0_g4_i1%7Cm.89809%20type%3Acomplete%20len%3A504%20(-)	TRINITY_DN30611_c0_g4_i1|g.89809	TRINITY_DN30611_c0_g4_i1|m.89809	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ORF%20TRINITY_DN30748_c0_g2_i1%7Cg.27487%20TRINITY_DN30748_c0_g2_i1%7Cm.27487%20type%3Acomplete%20len%3A115%20(-)	TRINITY_DN30748_c0_g2_i1|g.27487	TRINITY_DN30748_c0_g2_i1|m.27487	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30756_c1_g21_i1%7Cg.27520%20TRINITY_DN30756_c1_g21_i1%7Cm.27520%20type%3Ainternal%20len%3A148%20(%2B)	TRINITY_DN30756_c1_g21_i1|g.27520	TRINITY_DN30756_c1_g21_i1|m.27520	protein_coding	1	4	6	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	4
ORF%20TRINITY_DN30761_c0_g1_i1%7Cg.27482%20TRINITY_DN30761_c0_g1_i1%7Cm.27482%20type%3A3prime_partial%20len%3A415%20(%2B)	TRINITY_DN30761_c0_g1_i1|g.27482	TRINITY_DN30761_c0_g1_i1|m.27482	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30761_c0_g1_i1%7Cg.27484%20TRINITY_DN30761_c0_g1_i1%7Cm.27484%20type%3Acomplete%20len%3A100%20(%2B)	TRINITY_DN30761_c0_g1_i1|g.27484	TRINITY_DN30761_c0_g1_i1|m.27484	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30780_c0_g1_i2%7Cg.27392%20TRINITY_DN30780_c0_g1_i2%7Cm.27392%20type%3Acomplete%20len%3A122%20(%2B)	TRINITY_DN30780_c0_g1_i2|g.27392	TRINITY_DN30780_c0_g1_i2|m.27392	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30788_c0_g1_i2%7Cg.27522%20TRINITY_DN30788_c0_g1_i2%7Cm.27522%20type%3Acomplete%20len%3A113%20(-)	TRINITY_DN30788_c0_g1_i2|g.27522	TRINITY_DN30788_c0_g1_i2|m.27522	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30811_c0_g1_i1%7Cg.27465%20TRINITY_DN30811_c0_g1_i1%7Cm.27465%20type%3A5prime_partial%20len%3A118%20(-)	TRINITY_DN30811_c0_g1_i1|g.27465	TRINITY_DN30811_c0_g1_i1|m.27465	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30827_c0_g1_i1%7Cg.27493%20TRINITY_DN30827_c0_g1_i1%7Cm.27493%20type%3Acomplete%20len%3A217%20(-)	TRINITY_DN30827_c0_g1_i1|g.27493	TRINITY_DN30827_c0_g1_i1|m.27493	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30827_c0_g1_i1%7Cg.27494%20TRINITY_DN30827_c0_g1_i1%7Cm.27494%20type%3Acomplete%20len%3A203%20(%2B)	TRINITY_DN30827_c0_g1_i1|g.27494	TRINITY_DN30827_c0_g1_i1|m.27494	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30827_c0_g1_i1%7Cg.27495%20TRINITY_DN30827_c0_g1_i1%7Cm.27495%20type%3Acomplete%20len%3A123%20(-)	TRINITY_DN30827_c0_g1_i1|g.27495	TRINITY_DN30827_c0_g1_i1|m.27495	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30827_c0_g1_i1%7Cg.27496%20TRINITY_DN30827_c0_g1_i1%7Cm.27496%20type%3A5prime_partial%20len%3A115%20(-)	TRINITY_DN30827_c0_g1_i1|g.27496	TRINITY_DN30827_c0_g1_i1|m.27496	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30845_c0_g7_i1%7Cg.76499%20TRINITY_DN30845_c0_g7_i1%7Cm.76499%20type%3Ainternal%20len%3A176%20(%2B)	TRINITY_DN30845_c0_g7_i1|g.76499	TRINITY_DN30845_c0_g7_i1|m.76499	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN30848_c0_g1_i1%7Cg.76584%20TRINITY_DN30848_c0_g1_i1%7Cm.76584%20type%3A5prime_partial%20len%3A482%20(%2B)	TRINITY_DN30848_c0_g1_i1|g.76584	TRINITY_DN30848_c0_g1_i1|m.76584	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30848_c0_g1_i1%7Cg.76587%20TRINITY_DN30848_c0_g1_i1%7Cm.76587%20type%3Acomplete%20len%3A112%20(-)	TRINITY_DN30848_c0_g1_i1|g.76587	TRINITY_DN30848_c0_g1_i1|m.76587	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30860_c0_g2_i2%7Cg.76549%20TRINITY_DN30860_c0_g2_i2%7Cm.76549%20type%3A3prime_partial%20len%3A180%20(-)	TRINITY_DN30860_c0_g2_i2|g.76549	TRINITY_DN30860_c0_g2_i2|m.76549	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30885_c0_g2_i2%7Cg.76447%20TRINITY_DN30885_c0_g2_i2%7Cm.76447%20type%3Acomplete%20len%3A212%20(%2B)	TRINITY_DN30885_c0_g2_i2|g.76447	TRINITY_DN30885_c0_g2_i2|m.76447	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30915_c0_g1_i1%7Cg.76551%20TRINITY_DN30915_c0_g1_i1%7Cm.76551%20type%3Acomplete%20len%3A388%20(-)	TRINITY_DN30915_c0_g1_i1|g.76551	TRINITY_DN30915_c0_g1_i1|m.76551	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORF%20TRINITY_DN30916_c1_g2_i1%7Cg.76441%20TRINITY_DN30916_c1_g2_i1%7Cm.76441%20type%3Acomplete%20len%3A338%20(%2B)	TRINITY_DN30916_c1_g2_i1|g.76441	TRINITY_DN30916_c1_g2_i1|m.76441	protein_coding	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30916_c1_g2_i1%7Cg.76442%20TRINITY_DN30916_c1_g2_i1%7Cm.76442%20type%3Acomplete%20len%3A145%20(%2B)	TRINITY_DN30916_c1_g2_i1|g.76442	TRINITY_DN30916_c1_g2_i1|m.76442	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN30963_c0_g1_i2%7Cg.94171%20TRINITY_DN30963_c0_g1_i2%7Cm.94171%20type%3Acomplete%20len%3A278%20(%2B)	TRINITY_DN30963_c0_g1_i2|g.94171	TRINITY_DN30963_c0_g1_i2|m.94171	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN30987_c0_g2_i4%7Cg.94152%20TRINITY_DN30987_c0_g2_i4%7Cm.94152%20type%3Ainternal%20len%3A361%20(%2B)	TRINITY_DN30987_c0_g2_i4|g.94152	TRINITY_DN30987_c0_g2_i4|m.94152	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN30987_c0_g2_i4%7Cg.94153%20TRINITY_DN30987_c0_g2_i4%7Cm.94153%20type%3Ainternal%20len%3A361%20(%2B)	TRINITY_DN30987_c0_g2_i4|g.94153	TRINITY_DN30987_c0_g2_i4|m.94153	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31088_c0_g1_i2%7Cg.47726%20TRINITY_DN31088_c0_g1_i2%7Cm.47726%20type%3Acomplete%20len%3A119%20(-)	TRINITY_DN31088_c0_g1_i2|g.47726	TRINITY_DN31088_c0_g1_i2|m.47726	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31092_c0_g2_i3%7Cg.47715%20TRINITY_DN31092_c0_g2_i3%7Cm.47715%20type%3Acomplete%20len%3A192%20(-)	TRINITY_DN31092_c0_g2_i3|g.47715	TRINITY_DN31092_c0_g2_i3|m.47715	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31114_c0_g1_i3%7Cg.47780%20TRINITY_DN31114_c0_g1_i3%7Cm.47780%20type%3Acomplete%20len%3A137%20(%2B)	TRINITY_DN31114_c0_g1_i3|g.47780	TRINITY_DN31114_c0_g1_i3|m.47780	protein_coding	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31120_c0_g1_i7%7Cg.47806%20TRINITY_DN31120_c0_g1_i7%7Cm.47806%20type%3A5prime_partial%20len%3A374%20(%2B)	TRINITY_DN31120_c0_g1_i7|g.47806	TRINITY_DN31120_c0_g1_i7|m.47806	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31128_c0_g1_i1%7Cg.31532%20TRINITY_DN31128_c0_g1_i1%7Cm.31532%20type%3Ainternal%20len%3A105%20(%2B)	TRINITY_DN31128_c0_g1_i1|g.31532	TRINITY_DN31128_c0_g1_i1|m.31532	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31144_c0_g1_i1%7Cg.31479%20TRINITY_DN31144_c0_g1_i1%7Cm.31479%20type%3Ainternal%20len%3A511%20(-)	TRINITY_DN31144_c0_g1_i1|g.31479	TRINITY_DN31144_c0_g1_i1|m.31479	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN31144_c0_g1_i1%7Cg.31481%20TRINITY_DN31144_c0_g1_i1%7Cm.31481%20type%3Acomplete%20len%3A186%20(%2B)	TRINITY_DN31144_c0_g1_i1|g.31481	TRINITY_DN31144_c0_g1_i1|m.31481	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31144_c0_g1_i1%7Cg.31483%20TRINITY_DN31144_c0_g1_i1%7Cm.31483%20type%3Acomplete%20len%3A116%20(-)	TRINITY_DN31144_c0_g1_i1|g.31483	TRINITY_DN31144_c0_g1_i1|m.31483	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31193_c1_g1_i1%7Cg.31568%20TRINITY_DN31193_c1_g1_i1%7Cm.31568%20type%3Acomplete%20len%3A214%20(-)	TRINITY_DN31193_c1_g1_i1|g.31568	TRINITY_DN31193_c1_g1_i1|m.31568	protein_coding	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31206_c0_g1_i5%7Cg.31572%20TRINITY_DN31206_c0_g1_i5%7Cm.31572%20type%3A5prime_partial%20len%3A133%20(-)	TRINITY_DN31206_c0_g1_i5|g.31572	TRINITY_DN31206_c0_g1_i5|m.31572	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN31206_c0_g1_i5%7Cg.31573%20TRINITY_DN31206_c0_g1_i5%7Cm.31573%20type%3Acomplete%20len%3A102%20(%2B)	TRINITY_DN31206_c0_g1_i5|g.31573	TRINITY_DN31206_c0_g1_i5|m.31573	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31227_c0_g1_i1%7Cg.31623%20TRINITY_DN31227_c0_g1_i1%7Cm.31623%20type%3Acomplete%20len%3A211%20(-)	TRINITY_DN31227_c0_g1_i1|g.31623	TRINITY_DN31227_c0_g1_i1|m.31623	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN31230_c0_g2_i3%7Cg.45565%20TRINITY_DN31230_c0_g2_i3%7Cm.45565%20type%3Acomplete%20len%3A231%20(-)	TRINITY_DN31230_c0_g2_i3|g.45565	TRINITY_DN31230_c0_g2_i3|m.45565	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31230_c0_g2_i3%7Cg.45566%20TRINITY_DN31230_c0_g2_i3%7Cm.45566%20type%3Acomplete%20len%3A103%20(-)	TRINITY_DN31230_c0_g2_i3|g.45566	TRINITY_DN31230_c0_g2_i3|m.45566	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN31253_c0_g1_i2%7Cg.45570%20TRINITY_DN31253_c0_g1_i2%7Cm.45570%20type%3Ainternal%20len%3A220%20(-)	TRINITY_DN31253_c0_g1_i2|g.45570	TRINITY_DN31253_c0_g1_i2|m.45570	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN31254_c0_g1_i1%7Cg.45577%20TRINITY_DN31254_c0_g1_i1%7Cm.45577%20type%3A5prime_partial%20len%3A149%20(-)	TRINITY_DN31254_c0_g1_i1|g.45577	TRINITY_DN31254_c0_g1_i1|m.45577	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31254_c0_g1_i1%7Cg.45578%20TRINITY_DN31254_c0_g1_i1%7Cm.45578%20type%3Acomplete%20len%3A139%20(%2B)	TRINITY_DN31254_c0_g1_i1|g.45578	TRINITY_DN31254_c0_g1_i1|m.45578	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31323_c0_g2_i1%7Cg.45518%20TRINITY_DN31323_c0_g2_i1%7Cm.45518%20type%3Acomplete%20len%3A118%20(%2B)	TRINITY_DN31323_c0_g2_i1|g.45518	TRINITY_DN31323_c0_g2_i1|m.45518	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN31339_c0_g1_i1%7Cg.60700%20TRINITY_DN31339_c0_g1_i1%7Cm.60700%20type%3A3prime_partial%20len%3A185%20(-)	TRINITY_DN31339_c0_g1_i1|g.60700	TRINITY_DN31339_c0_g1_i1|m.60700	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN31339_c0_g1_i1%7Cg.60701%20TRINITY_DN31339_c0_g1_i1%7Cm.60701%20type%3A5prime_partial%20len%3A131%20(%2B)	TRINITY_DN31339_c0_g1_i1|g.60701	TRINITY_DN31339_c0_g1_i1|m.60701	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
