# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN38509_c0_g1_i1%7Cg.53223%20TRINITY_DN38509_c0_g1_i1%7Cm.53223%20type%3A5prime_partial%20len%3A374%20(%2B)	TRINITY_DN38509_c0_g1_i1|g.53223	TRINITY_DN38509_c0_g1_i1|m.53223	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38509_c0_g1_i1%7Cg.53224%20TRINITY_DN38509_c0_g1_i1%7Cm.53224%20type%3Acomplete%20len%3A179%20(%2B)	TRINITY_DN38509_c0_g1_i1|g.53224	TRINITY_DN38509_c0_g1_i1|m.53224	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38517_c0_g1_i1%7Cg.53358%20TRINITY_DN38517_c0_g1_i1%7Cm.53358%20type%3A5prime_partial%20len%3A338%20(%2B)	TRINITY_DN38517_c0_g1_i1|g.53358	TRINITY_DN38517_c0_g1_i1|m.53358	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38563_c0_g1_i1%7Cg.92316%20TRINITY_DN38563_c0_g1_i1%7Cm.92316%20type%3A5prime_partial%20len%3A654%20(%2B)	TRINITY_DN38563_c0_g1_i1|g.92316	TRINITY_DN38563_c0_g1_i1|m.92316	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORF%20TRINITY_DN38563_c0_g1_i1%7Cg.92317%20TRINITY_DN38563_c0_g1_i1%7Cm.92317%20type%3Acomplete%20len%3A135%20(%2B)	TRINITY_DN38563_c0_g1_i1|g.92317	TRINITY_DN38563_c0_g1_i1|m.92317	protein_coding	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38564_c0_g3_i3%7Cg.91984%20TRINITY_DN38564_c0_g3_i3%7Cm.91984%20type%3Acomplete%20len%3A316%20(%2B)	TRINITY_DN38564_c0_g3_i3|g.91984	TRINITY_DN38564_c0_g3_i3|m.91984	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN38567_c0_g2_i3%7Cg.92455%20TRINITY_DN38567_c0_g2_i3%7Cm.92455%20type%3Acomplete%20len%3A332%20(-)	TRINITY_DN38567_c0_g2_i3|g.92455	TRINITY_DN38567_c0_g2_i3|m.92455	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38567_c0_g2_i3%7Cg.92456%20TRINITY_DN38567_c0_g2_i3%7Cm.92456%20type%3Acomplete%20len%3A154%20(-)	TRINITY_DN38567_c0_g2_i3|g.92456	TRINITY_DN38567_c0_g2_i3|m.92456	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38567_c0_g2_i3%7Cg.92457%20TRINITY_DN38567_c0_g2_i3%7Cm.92457%20type%3Acomplete%20len%3A133%20(%2B)	TRINITY_DN38567_c0_g2_i3|g.92457	TRINITY_DN38567_c0_g2_i3|m.92457	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38590_c0_g1_i1%7Cg.92332%20TRINITY_DN38590_c0_g1_i1%7Cm.92332%20type%3Acomplete%20len%3A331%20(-)	TRINITY_DN38590_c0_g1_i1|g.92332	TRINITY_DN38590_c0_g1_i1|m.92332	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38600_c0_g1_i2%7Cg.92036%20TRINITY_DN38600_c0_g1_i2%7Cm.92036%20type%3A5prime_partial%20len%3A383%20(-)	TRINITY_DN38600_c0_g1_i2|g.92036	TRINITY_DN38600_c0_g1_i2|m.92036	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38600_c0_g1_i2%7Cg.92037%20TRINITY_DN38600_c0_g1_i2%7Cm.92037%20type%3Acomplete%20len%3A204%20(%2B)	TRINITY_DN38600_c0_g1_i2|g.92037	TRINITY_DN38600_c0_g1_i2|m.92037	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38608_c0_g3_i1%7Cg.92216%20TRINITY_DN38608_c0_g3_i1%7Cm.92216%20type%3Ainternal%20len%3A750%20(%2B)	TRINITY_DN38608_c0_g3_i1|g.92216	TRINITY_DN38608_c0_g3_i1|m.92216	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN38608_c0_g3_i1%7Cg.92217%20TRINITY_DN38608_c0_g3_i1%7Cm.92217%20type%3A5prime_partial%20len%3A165%20(-)	TRINITY_DN38608_c0_g3_i1|g.92217	TRINITY_DN38608_c0_g3_i1|m.92217	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38630_c0_g1_i1%7Cg.39351%20TRINITY_DN38630_c0_g1_i1%7Cm.39351%20type%3A5prime_partial%20len%3A547%20(-)	TRINITY_DN38630_c0_g1_i1|g.39351	TRINITY_DN38630_c0_g1_i1|m.39351	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38645_c2_g2_i2%7Cg.39586%20TRINITY_DN38645_c2_g2_i2%7Cm.39586%20type%3Acomplete%20len%3A529%20(%2B)	TRINITY_DN38645_c2_g2_i2|g.39586	TRINITY_DN38645_c2_g2_i2|m.39586	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN38645_c2_g2_i2%7Cg.39587%20TRINITY_DN38645_c2_g2_i2%7Cm.39587%20type%3A3prime_partial%20len%3A351%20(-)	TRINITY_DN38645_c2_g2_i2|g.39587	TRINITY_DN38645_c2_g2_i2|m.39587	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN38645_c2_g2_i2%7Cg.39589%20TRINITY_DN38645_c2_g2_i2%7Cm.39589%20type%3Acomplete%20len%3A121%20(%2B)	TRINITY_DN38645_c2_g2_i2|g.39589	TRINITY_DN38645_c2_g2_i2|m.39589	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38645_c2_g2_i2%7Cg.39590%20TRINITY_DN38645_c2_g2_i2%7Cm.39590%20type%3Acomplete%20len%3A109%20(%2B)	TRINITY_DN38645_c2_g2_i2|g.39590	TRINITY_DN38645_c2_g2_i2|m.39590	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38661_c0_g1_i7%7Cg.39691%20TRINITY_DN38661_c0_g1_i7%7Cm.39691%20type%3Acomplete%20len%3A450%20(-)	TRINITY_DN38661_c0_g1_i7|g.39691	TRINITY_DN38661_c0_g1_i7|m.39691	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38661_c0_g1_i7%7Cg.39692%20TRINITY_DN38661_c0_g1_i7%7Cm.39692%20type%3Acomplete%20len%3A107%20(-)	TRINITY_DN38661_c0_g1_i7|g.39692	TRINITY_DN38661_c0_g1_i7|m.39692	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38663_c0_g1_i2%7Cg.39719%20TRINITY_DN38663_c0_g1_i2%7Cm.39719%20type%3Acomplete%20len%3A210%20(-)	TRINITY_DN38663_c0_g1_i2|g.39719	TRINITY_DN38663_c0_g1_i2|m.39719	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38663_c0_g1_i2%7Cg.39720%20TRINITY_DN38663_c0_g1_i2%7Cm.39720%20type%3Acomplete%20len%3A207%20(%2B)	TRINITY_DN38663_c0_g1_i2|g.39720	TRINITY_DN38663_c0_g1_i2|m.39720	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38663_c0_g1_i2%7Cg.39723%20TRINITY_DN38663_c0_g1_i2%7Cm.39723%20type%3Acomplete%20len%3A154%20(-)	TRINITY_DN38663_c0_g1_i2|g.39723	TRINITY_DN38663_c0_g1_i2|m.39723	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38663_c0_g1_i2%7Cg.39724%20TRINITY_DN38663_c0_g1_i2%7Cm.39724%20type%3Acomplete%20len%3A109%20(-)	TRINITY_DN38663_c0_g1_i2|g.39724	TRINITY_DN38663_c0_g1_i2|m.39724	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38664_c0_g3_i1%7Cg.39422%20TRINITY_DN38664_c0_g3_i1%7Cm.39422%20type%3Acomplete%20len%3A173%20(%2B)	TRINITY_DN38664_c0_g3_i1|g.39422	TRINITY_DN38664_c0_g3_i1|m.39422	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38693_c0_g1_i2%7Cg.39379%20TRINITY_DN38693_c0_g1_i2%7Cm.39379%20type%3Acomplete%20len%3A378%20(-)	TRINITY_DN38693_c0_g1_i2|g.39379	TRINITY_DN38693_c0_g1_i2|m.39379	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38693_c0_g1_i2%7Cg.39380%20TRINITY_DN38693_c0_g1_i2%7Cm.39380%20type%3A3prime_partial%20len%3A349%20(%2B)	TRINITY_DN38693_c0_g1_i2|g.39380	TRINITY_DN38693_c0_g1_i2|m.39380	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38715_c18_g46_i2%7Cg.39782%20TRINITY_DN38715_c18_g46_i2%7Cm.39782%20type%3Acomplete%20len%3A220%20(-)	TRINITY_DN38715_c18_g46_i2|g.39782	TRINITY_DN38715_c18_g46_i2|m.39782	protein_coding	0	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3
ORF%20TRINITY_DN38715_c18_g46_i2%7Cg.39783%20TRINITY_DN38715_c18_g46_i2%7Cm.39783%20type%3Acomplete%20len%3A159%20(%2B)	TRINITY_DN38715_c18_g46_i2|g.39783	TRINITY_DN38715_c18_g46_i2|m.39783	protein_coding	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4
ORF%20TRINITY_DN38730_c5_g7_i1%7Cg.5541%20TRINITY_DN38730_c5_g7_i1%7Cm.5541%20type%3Acomplete%20len%3A104%20(%2B)	TRINITY_DN38730_c5_g7_i1|g.5541	TRINITY_DN38730_c5_g7_i1|m.5541	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38730_c5_g9_i1%7Cg.5542%20TRINITY_DN38730_c5_g9_i1%7Cm.5542%20type%3A3prime_partial%20len%3A124%20(-)	TRINITY_DN38730_c5_g9_i1|g.5542	TRINITY_DN38730_c5_g9_i1|m.5542	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38730_c5_g9_i1%7Cg.5543%20TRINITY_DN38730_c5_g9_i1%7Cm.5543%20type%3A5prime_partial%20len%3A105%20(%2B)	TRINITY_DN38730_c5_g9_i1|g.5543	TRINITY_DN38730_c5_g9_i1|m.5543	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38740_c0_g1_i5%7Cg.5182%20TRINITY_DN38740_c0_g1_i5%7Cm.5182%20type%3A5prime_partial%20len%3A722%20(%2B)	TRINITY_DN38740_c0_g1_i5|g.5182	TRINITY_DN38740_c0_g1_i5|m.5182	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38746_c0_g1_i1%7Cg.5679%20TRINITY_DN38746_c0_g1_i1%7Cm.5679%20type%3A5prime_partial%20len%3A420%20(%2B)	TRINITY_DN38746_c0_g1_i1|g.5679	TRINITY_DN38746_c0_g1_i1|m.5679	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38746_c0_g1_i1%7Cg.5680%20TRINITY_DN38746_c0_g1_i1%7Cm.5680%20type%3Acomplete%20len%3A279%20(%2B)	TRINITY_DN38746_c0_g1_i1|g.5680	TRINITY_DN38746_c0_g1_i1|m.5680	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38762_c0_g1_i2%7Cg.5186%20TRINITY_DN38762_c0_g1_i2%7Cm.5186%20type%3Acomplete%20len%3A395%20(-)	TRINITY_DN38762_c0_g1_i2|g.5186	TRINITY_DN38762_c0_g1_i2|m.5186	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38762_c0_g1_i2%7Cg.5187%20TRINITY_DN38762_c0_g1_i2%7Cm.5187%20type%3Acomplete%20len%3A194%20(%2B)	TRINITY_DN38762_c0_g1_i2|g.5187	TRINITY_DN38762_c0_g1_i2|m.5187	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38762_c0_g1_i2%7Cg.5188%20TRINITY_DN38762_c0_g1_i2%7Cm.5188%20type%3Acomplete%20len%3A115%20(%2B)	TRINITY_DN38762_c0_g1_i2|g.5188	TRINITY_DN38762_c0_g1_i2|m.5188	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38775_c0_g4_i1%7Cg.5266%20TRINITY_DN38775_c0_g4_i1%7Cm.5266%20type%3Acomplete%20len%3A347%20(-)	TRINITY_DN38775_c0_g4_i1|g.5266	TRINITY_DN38775_c0_g4_i1|m.5266	protein_coding	0	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3
ORF%20TRINITY_DN38777_c0_g2_i1%7Cg.5760%20TRINITY_DN38777_c0_g2_i1%7Cm.5760%20type%3A5prime_partial%20len%3A480%20(%2B)	TRINITY_DN38777_c0_g2_i1|g.5760	TRINITY_DN38777_c0_g2_i1|m.5760	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38777_c0_g2_i1%7Cg.5761%20TRINITY_DN38777_c0_g2_i1%7Cm.5761%20type%3Acomplete%20len%3A168%20(-)	TRINITY_DN38777_c0_g2_i1|g.5761	TRINITY_DN38777_c0_g2_i1|m.5761	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38790_c0_g3_i1%7Cg.5678%20TRINITY_DN38790_c0_g3_i1%7Cm.5678%20type%3Acomplete%20len%3A122%20(-)	TRINITY_DN38790_c0_g3_i1|g.5678	TRINITY_DN38790_c0_g3_i1|m.5678	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38830_c0_g1_i5%7Cg.35781%20TRINITY_DN38830_c0_g1_i5%7Cm.35781%20type%3Acomplete%20len%3A859%20(%2B)	TRINITY_DN38830_c0_g1_i5|g.35781	TRINITY_DN38830_c0_g1_i5|m.35781	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORF%20TRINITY_DN38830_c0_g1_i5%7Cg.35783%20TRINITY_DN38830_c0_g1_i5%7Cm.35783%20type%3Acomplete%20len%3A261%20(-)	TRINITY_DN38830_c0_g1_i5|g.35783	TRINITY_DN38830_c0_g1_i5|m.35783	protein_coding	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN38830_c0_g1_i8%7Cg.35786%20TRINITY_DN38830_c0_g1_i8%7Cm.35786%20type%3Acomplete%20len%3A299%20(%2B)	TRINITY_DN38830_c0_g1_i8|g.35786	TRINITY_DN38830_c0_g1_i8|m.35786	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN38847_c0_g1_i3%7Cg.35758%20TRINITY_DN38847_c0_g1_i3%7Cm.35758%20type%3Acomplete%20len%3A216%20(-)	TRINITY_DN38847_c0_g1_i3|g.35758	TRINITY_DN38847_c0_g1_i3|m.35758	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38847_c0_g1_i3%7Cg.35759%20TRINITY_DN38847_c0_g1_i3%7Cm.35759%20type%3A5prime_partial%20len%3A179%20(-)	TRINITY_DN38847_c0_g1_i3|g.35759	TRINITY_DN38847_c0_g1_i3|m.35759	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38847_c0_g1_i3%7Cg.35760%20TRINITY_DN38847_c0_g1_i3%7Cm.35760%20type%3A3prime_partial%20len%3A118%20(%2B)	TRINITY_DN38847_c0_g1_i3|g.35760	TRINITY_DN38847_c0_g1_i3|m.35760	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38847_c0_g1_i3%7Cg.35761%20TRINITY_DN38847_c0_g1_i3%7Cm.35761%20type%3A5prime_partial%20len%3A101%20(-)	TRINITY_DN38847_c0_g1_i3|g.35761	TRINITY_DN38847_c0_g1_i3|m.35761	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38847_c0_g1_i3%7Cg.35762%20TRINITY_DN38847_c0_g1_i3%7Cm.35762%20type%3A3prime_partial%20len%3A101%20(%2B)	TRINITY_DN38847_c0_g1_i3|g.35762	TRINITY_DN38847_c0_g1_i3|m.35762	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38857_c0_g2_i3%7Cg.35950%20TRINITY_DN38857_c0_g2_i3%7Cm.35950%20type%3Acomplete%20len%3A190%20(-)	TRINITY_DN38857_c0_g2_i3|g.35950	TRINITY_DN38857_c0_g2_i3|m.35950	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38857_c0_g2_i3%7Cg.35951%20TRINITY_DN38857_c0_g2_i3%7Cm.35951%20type%3Acomplete%20len%3A156%20(%2B)	TRINITY_DN38857_c0_g2_i3|g.35951	TRINITY_DN38857_c0_g2_i3|m.35951	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38857_c0_g2_i3%7Cg.35952%20TRINITY_DN38857_c0_g2_i3%7Cm.35952%20type%3Acomplete%20len%3A150%20(-)	TRINITY_DN38857_c0_g2_i3|g.35952	TRINITY_DN38857_c0_g2_i3|m.35952	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ORF%20TRINITY_DN38857_c0_g2_i3%7Cg.35953%20TRINITY_DN38857_c0_g2_i3%7Cm.35953%20type%3Acomplete%20len%3A136%20(-)	TRINITY_DN38857_c0_g2_i3|g.35953	TRINITY_DN38857_c0_g2_i3|m.35953	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38865_c1_g1_i2%7Cg.35683%20TRINITY_DN38865_c1_g1_i2%7Cm.35683%20type%3Acomplete%20len%3A185%20(%2B)	TRINITY_DN38865_c1_g1_i2|g.35683	TRINITY_DN38865_c1_g1_i2|m.35683	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38865_c1_g1_i2%7Cg.35685%20TRINITY_DN38865_c1_g1_i2%7Cm.35685%20type%3Acomplete%20len%3A111%20(%2B)	TRINITY_DN38865_c1_g1_i2|g.35685	TRINITY_DN38865_c1_g1_i2|m.35685	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38921_c0_g3_i1%7Cg.35725%20TRINITY_DN38921_c0_g3_i1%7Cm.35725%20type%3A3prime_partial%20len%3A163%20(%2B)	TRINITY_DN38921_c0_g3_i1|g.35725	TRINITY_DN38921_c0_g3_i1|m.35725	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38928_c0_g1_i2%7Cg.81323%20TRINITY_DN38928_c0_g1_i2%7Cm.81323%20type%3Acomplete%20len%3A356%20(%2B)	TRINITY_DN38928_c0_g1_i2|g.81323	TRINITY_DN38928_c0_g1_i2|m.81323	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38940_c1_g1_i9%7Cg.81173%20TRINITY_DN38940_c1_g1_i9%7Cm.81173%20type%3Acomplete%20len%3A283%20(-)	TRINITY_DN38940_c1_g1_i9|g.81173	TRINITY_DN38940_c1_g1_i9|m.81173	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38940_c1_g1_i9%7Cg.81175%20TRINITY_DN38940_c1_g1_i9%7Cm.81175%20type%3A5prime_partial%20len%3A102%20(%2B)	TRINITY_DN38940_c1_g1_i9|g.81175	TRINITY_DN38940_c1_g1_i9|m.81175	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38954_c0_g1_i9%7Cg.81341%20TRINITY_DN38954_c0_g1_i9%7Cm.81341%20type%3A5prime_partial%20len%3A652%20(%2B)	TRINITY_DN38954_c0_g1_i9|g.81341	TRINITY_DN38954_c0_g1_i9|m.81341	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN38954_c0_g1_i9%7Cg.81343%20TRINITY_DN38954_c0_g1_i9%7Cm.81343%20type%3Acomplete%20len%3A118%20(-)	TRINITY_DN38954_c0_g1_i9|g.81343	TRINITY_DN38954_c0_g1_i9|m.81343	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38962_c0_g1_i2%7Cg.81394%20TRINITY_DN38962_c0_g1_i2%7Cm.81394%20type%3A5prime_partial%20len%3A301%20(%2B)	TRINITY_DN38962_c0_g1_i2|g.81394	TRINITY_DN38962_c0_g1_i2|m.81394	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN38964_c0_g1_i4%7Cg.81150%20TRINITY_DN38964_c0_g1_i4%7Cm.81150%20type%3A5prime_partial%20len%3A964%20(%2B)	TRINITY_DN38964_c0_g1_i4|g.81150	TRINITY_DN38964_c0_g1_i4|m.81150	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN38975_c0_g1_i4%7Cg.81245%20TRINITY_DN38975_c0_g1_i4%7Cm.81245%20type%3Acomplete%20len%3A294%20(%2B)	TRINITY_DN38975_c0_g1_i4|g.81245	TRINITY_DN38975_c0_g1_i4|m.81245	protein_coding	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
ORF%20TRINITY_DN39001_c0_g1_i1%7Cg.81636%20TRINITY_DN39001_c0_g1_i1%7Cm.81636%20type%3A5prime_partial%20len%3A291%20(-)	TRINITY_DN39001_c0_g1_i1|g.81636	TRINITY_DN39001_c0_g1_i1|m.81636	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN39021_c0_g2_i1%7Cg.81142%20TRINITY_DN39021_c0_g2_i1%7Cm.81142%20type%3A5prime_partial%20len%3A883%20(%2B)	TRINITY_DN39021_c0_g2_i1|g.81142	TRINITY_DN39021_c0_g2_i1|m.81142	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN39032_c0_g1_i3%7Cg.32777%20TRINITY_DN39032_c0_g1_i3%7Cm.32777%20type%3Acomplete%20len%3A317%20(-)	TRINITY_DN39032_c0_g1_i3|g.32777	TRINITY_DN39032_c0_g1_i3|m.32777	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORF%20TRINITY_DN39032_c0_g1_i3%7Cg.32779%20TRINITY_DN39032_c0_g1_i3%7Cm.32779%20type%3A5prime_partial%20len%3A113%20(%2B)	TRINITY_DN39032_c0_g1_i3|g.32779	TRINITY_DN39032_c0_g1_i3|m.32779	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32218%20TRINITY_DN39050_c0_g1_i3%7Cm.32218%20type%3Acomplete%20len%3A314%20(%2B)	TRINITY_DN39050_c0_g1_i3|g.32218	TRINITY_DN39050_c0_g1_i3|m.32218	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32219%20TRINITY_DN39050_c0_g1_i3%7Cm.32219%20type%3Acomplete%20len%3A314%20(-)	TRINITY_DN39050_c0_g1_i3|g.32219	TRINITY_DN39050_c0_g1_i3|m.32219	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32220%20TRINITY_DN39050_c0_g1_i3%7Cm.32220%20type%3Acomplete%20len%3A283%20(-)	TRINITY_DN39050_c0_g1_i3|g.32220	TRINITY_DN39050_c0_g1_i3|m.32220	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32221%20TRINITY_DN39050_c0_g1_i3%7Cm.32221%20type%3Acomplete%20len%3A279%20(%2B)	TRINITY_DN39050_c0_g1_i3|g.32221	TRINITY_DN39050_c0_g1_i3|m.32221	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32222%20TRINITY_DN39050_c0_g1_i3%7Cm.32222%20type%3Acomplete%20len%3A250%20(%2B)	TRINITY_DN39050_c0_g1_i3|g.32222	TRINITY_DN39050_c0_g1_i3|m.32222	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32223%20TRINITY_DN39050_c0_g1_i3%7Cm.32223%20type%3Acomplete%20len%3A222%20(-)	TRINITY_DN39050_c0_g1_i3|g.32223	TRINITY_DN39050_c0_g1_i3|m.32223	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN39050_c0_g1_i3%7Cg.32224%20TRINITY_DN39050_c0_g1_i3%7Cm.32224%20type%3A5prime_partial%20len%3A218%20(-)	TRINITY_DN39050_c0_g1_i3|g.32224	TRINITY_DN39050_c0_g1_i3|m.32224	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
